Country Name,2024
Aruba,107624
Africa Eastern and Southern,769294618
Afghanistan,42647492
Africa Western and Central,521764076
Angola,37885849
Albania,2714617
Andorra,81938
Arab World,492579811
United Arab Emirates,10876981
Argentina,45696159
Armenia,3033500
American Samoa,46765
Antigua and Barbuda,93772
Australia,27204809
Austria,9178482
Azerbaijan,10202850
Burundi,14047786
Belgium,11876844
Benin,14462724
Burkina Faso,23548781
Bangladesh,173562364
Bulgaria,6444366
Bahrain,1588670
"Bahamas, The",401283
Bosnia and Herzegovina,3164253
Belarus,9133712
Belize,417072
Bermuda,64636
Bolivia,12413315
Brazil,211998573
Barbados,282467
Brunei Darussalam,462721
Bhutan,791524
Botswana,2521139
Central African Republic,5330690
Canada,41288599
Central Europe and the Baltics,100050066
Switzerland,9034102
Channel Islands,168126
Chile,19764771
China,1408975000
Cote d'Ivoire,31934230
Cameroon,29123744
"Congo, Dem. Rep.",109276265
"Congo, Rep.",6332961
Colombia,52886363
Comoros,866628
Cabo Verde,524877
Costa Rica,5129910
Caribbean small states,4539060
Cuba,10979783
Curacao,155900
Cayman Islands,74457
Cyprus,1358282
Czechia,10882164
Germany,83510950
Djibouti,1168722
Dominica,66205
Denmark,5976992
Dominican Republic,11427557
Algeria,46814308
East Asia & Pacific (excluding high income),2141122258
Early-demographic dividend,3552278604
East Asia & Pacific,2388378491
Europe & Central Asia (excluding high income),250485944
Europe & Central Asia,928465742
Ecuador,18135478
"Egypt, Arab Rep.",116538258
Euro area,351125804
Eritrea,3535603
Spain,48807137
Estonia,1371986
Ethiopia,132059767
European Union,450185396
Fragile and conflict affected situations,1081767572
Finland,5637214
Fiji,928784
France,68516699
Faroe Islands,54719
"Micronesia, Fed. Sts.",113160
Gabon,2538952
United Kingdom,69226000
Georgia,3673850
Ghana,34427414
Gibraltar,39329
Guinea,14754785
"Gambia, The",2759988
Guinea-Bissau,2201352
Equatorial Guinea,1892516
Greece,10388805
Grenada,117207
Greenland,56836
Guatemala,18406359
Guam,167777
Guyana,831087
High income,1417871275
"Hong Kong SAR, China",7524100
Honduras,10825703
Heavily indebted poor countries (HIPC),941413026
Croatia,3866300
Haiti,11772557
Hungary,9562314
IBRD only,4979720059
IDA & IBRD total,6926456321
IDA total,1946736262
IDA blend,676957651
Indonesia,283487931
IDA only,1269778611
Isle of Man,84160
India,1450935791
Not classified,
Ireland,5380257
"Iran, Islamic Rep.",91567738
Iraq,46042015
Iceland,404610
Israel,9974400
Italy,58986023
Jamaica,2839175
Jordan,11552876
Japan,123975371
Kazakhstan,20592571
Kenya,56432944
Kyrgyz Republic,7224614
Cambodia,17638801
Kiribati,134518
St. Kitts and Nevis,46843
"Korea, Rep.",51751065
Kuwait,4973861
Latin America & Caribbean (excluding high income),594158638
Lao PDR,7769819
Lebanon,5805962
Liberia,5612817
Libya,7381023
St. Lucia,179744
Latin America & Caribbean,662185950
Least developed countries: UN classification,1187777591
Low income,624608098
Liechtenstein,40197
Sri Lanka,21916000
Lower middle income,3120983658
Low & middle income,6563719861
Lesotho,2337423
Late-demographic dividend,2328890789
Lithuania,2888055
Luxembourg,677717
Latvia,1862441
"Macao SAR, China",687000
St. Martin (French part),26129
Morocco,38081173
Monaco,38631
Moldova,2389275
Madagascar,31964956
Maldives,527799
"Middle East, North Africa, Afghanistan & Pakistan",813118814
Mexico,130861007
Marshall Islands,37548
Middle income,5939111763
North Macedonia,1792179
Mali,24478595
Malta,574346
Myanmar,54500091
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",741690916
Montenegro,623831
Mongolia,3524788
Northern Mariana Islands,44278
Mozambique,34631766
Mauritania,5169395
Mauritius,1259509
Malawi,21655286
Malaysia,35557673
North America,381464223
Namibia,3030131
New Caledonia,292639
Niger,27032412
Nigeria,232679478
Nicaragua,6916140
Netherlands,17994237
Norway,5572272
Nepal,29651054
Nauru,11947
New Zealand,5338500
OECD members,1396914190
Oman,5281538
Other small states,12969162
Pakistan,251269164
Panama,4515577
Peru,34217848
Philippines,115843670
Palau,17695
Papua New Guinea,10576502
Poland,36554707
Pre-demographic dividend,1105951788
Puerto Rico (US),3203295
"Korea, Dem. People's Rep.",26498823
Portugal,10701636
Paraguay,6929153
West Bank and Gaza,5289152
Pacific island small states,2722467
Post-demographic dividend,1128430188
French Polynesia,281807
Qatar,2857822
Romania,19069340
Russian Federation,143533851
Rwanda,14256567
South Asia,1677384532
Saudi Arabia,35300280
Sudan,50448963
Senegal,18501984
Singapore,6036860
Solomon Islands,819198
Sierra Leone,8642022
El Salvador,6338193
San Marino,33977
"Somalia, Fed. Rep.",19009151
Serbia,6587202
Sub-Saharan Africa (excluding high income),1158877573
South Sudan,11943408
Sub-Saharan Africa,1291058694
Small states,20230689
Sao Tome and Principe,235536
Suriname,634431
Slovak Republic,5422069
Slovenia,2126324
Sweden,10569709
Eswatini,1242822
Sint Maarten (Dutch part),43350
Seychelles,121354
Syrian Arab Republic,24672760
Turks and Caicos Islands,46535
Chad,20299123
East Asia & Pacific (IDA & IBRD countries),2114653077
Europe & Central Asia (IDA & IBRD countries),459954508
Togo,9515236
Thailand,71668011
Tajikistan,10590927
Turkmenistan,7494498
Latin America & the Caribbean (IDA & IBRD countries),647003746
Timor-Leste,1400638
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",736401764
Tonga,104175
South Asia (IDA & IBRD),1677384532
Sub-Saharan Africa (IDA & IBRD countries),1291058694
Trinidad and Tobago,1368333
Tunisia,12277109
Turkiye,85518661
Tuvalu,9646
Tanzania,68560157
Uganda,50015092
Ukraine,37860221
Upper middle income,2818128105
Uruguay,3386588
United States,340110988
Uzbekistan,36361859
St. Vincent and the Grenadines,100616
"Venezuela, RB",28405543
British Virgin Islands,39471
Virgin Islands (U.S.),104377
Viet Nam,100987686
Vanuatu,327777
World,8142056446
Samoa,218019
Kosovo,1527324
"Yemen, Rep.",40583164
South Africa,64007187
Zambia,21314956
Zimbabwe,16634373
